key,name,description,icon,rarity,affinity,breed,shard_item,unique_command,habit_slot_1_key,habit_slot_1_name,habit_slot_2_key,habit_slot_2_name,habit_slot_3_key,habit_slot_3_name,habit_slot_4_key,habit_slot_4_name,habit_slot_5_key,habit_slot_5_name,habit_slot_6_key,habit_slot_6_name
dragon_generic_shadowrend,Shadowrend,"Shadowrend, the Eclipse Incarnate, whose midnight scales so captured the imagination of a renowned painter that the artist sought him out, desperate to capture his sublime darkness on canvas. Overwhelmed by Shadowrend’s aura, the painter produced nothing but shades of black for years thereafter. 

Rumor has it the painter's obsession grew so deep he claimed to hear the dragon’s whispers in every brushstroke, forever haunted by the muse he dared to seek. Shadowrend’s presence is a darkness that inspires, a shadow that leaves its mark on all who dare gaze upon it.",Icon_Dragon_Thumb_Shadowrend.png,rarity_dragon_rare,affinity_generic_shadowrend,breed_warrior,item_shard_generic_shadowrend,command_unique_shadowrend_01,habit_dragon_shadowrend_slot1_01,Warrior's Zeal,habit_dragon_shadowrend_slot2_01,Midnight Aura,habit_dragon_shadowrend_slot3_01,Nimble Resilience,habit_dragon_shadowrend_slot4_01,Fueled by Darkness,habit_dragon_shadowrend_slot5_01,Midnight Mastery,habit_dragon_shadowrend_slot6_01,Event Horizon
dragon_iconic_arrax,Arrax,"Arrax, pearlescent and bright as hammered gold, was hatched for Lucerys Velaryon. Smaller than the ancient beasts of Dragonstone but swift and eager, Arrax grew quickly. He was no creature of patience—nervous in thunder and restless in heavy winds—yet fiercely loyal to his rider, answering even uncertain commands without hesitation. 

Together, boy and dragon served as living proof of Targaryen blood, flying as envoys rather than warriors, bearing words and vows instead of fire. Though still young, Arrax carries a fierce spark within him, a reminder that even the smallest flame may yet blaze brightly when tested by wind and storm.",Icon_Dragon_Thumb_Arrax.png,rarity_dragon_rare,affinity_iconic_arrax,breed_warrior,item_shard_iconic_arrax,command_unique_arrax_01,habit_dragon_arrax_slot1_01,Warrior's Resilience,habit_dragon_arrax_slot2_01,Headlong Into Danger,habit_dragon_arrax_slot3_01,Stone Bulwark,habit_dragon_arrax_slot4_01,Adaptive Guard,habit_dragon_arrax_slot5_01,Fire Ward,habit_dragon_arrax_slot6_01,Turn the Line
dragon_generic_feskar,Feskar,"In the icy grip of winter, Feskar, known as the Emerald Inferno of Winter's End, found his heart warmed not by a dragoness, nor a noble lady, but by a lowly sheep whose fleece was a beacon amidst the snow. 

His peculiar quest for affection thawed the frozen land, inadvertently freeing White Harbor from winter's unyielding grasp. The bards may well overlook the sheepish nature of his ardor, but let it be known that the truth of this fiery romance shall not be forgotten.",Icon_Dragon_Thumb_Feskar.png,rarity_dragon_epic,affinity_generic_feskar,breed_champion,item_shard_generic_feskar,command_unique_feskar_01,habit_dragon_feskar_slot1_01,Champion's Brilliance,habit_dragon_feskar_slot2_01,Resilient Bond,habit_dragon_feskar_slot3_01,Insightful Allies,habit_dragon_feskar_slot4_01,Emerald Inferno,habit_dragon_feskar_slot5_01,Quick-Witted,habit_dragon_feskar_slot6_01,Unyielding Grasp
dragon_generic_rhysarion,Rhysarion,"Rhysarion, the Dawnsong, whose voice can charm the very rage from the sea itself, ascended on wings of gold as a band of Ironborn reavers prepared to pillage and plunder. Her melody of peace wove through the salty air, turning their thoughts from violence to tranquility. 

Struck by an unexplainable fondness for serenity, the reavers turned their ships homeward, embracing the life of humble tillers of the sea. To this day, their descendants hum a tune no one can place, the legacy of Rhysarion’s unlikely lullaby echoing in their hearts.",Icon_Dragon_Thumb_Rhysarion.png,rarity_dragon_epic,affinity_generic_rhysarion,breed_champion,item_shard_generic_rhysarion,command_unique_rhysarion_01,habit_dragon_rhysarion_slot1_01,Champion's Vigor,habit_dragon_rhysarion_slot2_01,Ebbing Fury,habit_dragon_rhysarion_slot3_01,Sharp Resolve,habit_dragon_rhysarion_slot4_01,Echoing Melody,habit_dragon_rhysarion_slot5_01,Unbroken Devotion,habit_dragon_rhysarion_slot6_01,Inspiring Melody
dragon_iconic_tessarion,Tessarion,"Tessarion, the Blue Queen, gleams like stormlight caught beneath cobalt glass, her wings flashing bright and brilliant against the smoke of war. Young beside the ancient terrors of Dragonstone, she is no less feared, for her flame burns blue and strange, hot enough to turn armor bright as molten stars. 

Bound to Daeron Targaryen, Tessarion has flown not as a beast of blind ruin, but as a banner given wings: swift, disciplined, and terrible when called. Where she descends, courage rises among allies and dread settles over foes, for the Blue Queen is beauty sharpened into battle.",Icon_Dragon_Thumb_Tessarion.png,rarity_dragon_epic,affinity_iconic_tessarion,breed_champion,item_shard_iconic_tessarion,command_unique_tessarion_01,habit_dragon_tessarion_slot1_01,Champion's Brilliance,habit_dragon_tessarion_slot2_01,Sharpened Beauty,habit_dragon_tessarion_slot3_01,Blazing Leader,habit_dragon_tessarion_slot4_01,Molten Armor,habit_dragon_tessarion_slot5_01,Clever Maneuver,habit_dragon_tessarion_slot6_01,The Blue Queen
dragon_generic_moonsheen,WIP Moonsheen,DRAGON_GENERIC_MOONSHEEN_DESC,Icon_Dragon_Thumb_Caraxes.png,rarity_dragon_epic,affinity_generic_moonsheen,breed_champion,item_shard_generic_moonsheen,command_unique_moonsheen_01,habit_dragon_moonsheen_slot1_01,<color=purple>Work in Progress</color>,habit_dragon_moonsheen_slot2_01,<color=purple>Work in Progress</color>,habit_dragon_moonsheen_slot3_01,<color=purple>Work in Progress</color>,habit_dragon_moonsheen_slot4_01,<color=purple>Work in Progress</color>,habit_dragon_moonsheen_slot5_01,<color=purple>Work in Progress</color>,habit_dragon_moonsheen_slot6_01,<color=purple>Work in Progress</color>
dragon_generic_shadowsong,Shadowsong,"Shadowsong, the Blazing Conductor, is more than just a force of fiery destruction; she is a maestro of the battlefield. In the Battle of the Broken Spire, Shadowsong's flames danced across the battlefield, as if guided by an unseen hand. 

Enemies caught in her path found themselves swept into a whirlwind of fire and fury, their actions dictated by her will. To fight alongside Shadowsong is to be part of her fiery composition, where strength and strategy blend into an unstoppable force.",Icon_Dragon_Thumb_Shadowsong.png,rarity_dragon_epic,affinity_generic_shadowsong,breed_hunter,item_shard_generic_shadowsong,command_unique_shadowsong_01,habit_dragon_shadowsong_slot1_01,Hunter's Wrath,habit_dragon_shadowsong_slot2_01,Ensnare,habit_dragon_shadowsong_slot3_01,Blazing Onslaught,habit_dragon_shadowsong_slot4_01,Scorched Earth,habit_dragon_shadowsong_slot5_01,Dragon's Intellect,habit_dragon_shadowsong_slot6_01,Blazing Conductor
dragon_generic_tashix,Tashix,"Tashix, the Shimmering Mirage, whose scales reflect the landscape so perfectly she can vanish into any scene, is a dragon of unparalleled cunning. During the Siege of Pyke, as the castle walls faced relentless assault, Tashix slipped into the fortress not with a roar, but with a ruse most cunning. 

She transformed her scales to match the battered walls, posing as a breach so convincing it fooled even the keenest of eyes. As the besiegers charged toward the gap, they found not the path to glory, but a trap meticulously laid by the wily Tashix. Her illusions are as deadly as her fire, a reminder that not all battles are won by force alone.",Icon_Dragon_Thumb_Tashix.png,rarity_dragon_epic,affinity_generic_tashix,breed_hunter,item_shard_generic_tashix,command_unique_tashix_01,habit_dragon_tashix_slot1_01,Hunter's Cunning,habit_dragon_tashix_slot2_01,Enervate,habit_dragon_tashix_slot3_01,Dragon's Cunning,habit_dragon_tashix_slot4_01,Cunning Ruse,habit_dragon_tashix_slot5_01,Battle Guile,habit_dragon_tashix_slot6_01,Veiled Ambush
dragon_generic_smoketail,WIP Smoketail,"Smoketail, the Mistress of Mists, weaves through the air with a flair that bewilders and beguiles. During the thick of battle on the Moors, Smoketail cast a dense smoke that blinded and confused the enemy. 

Amidst this chaos, the Targaryen forces, hidden behind her veil, launched a sudden, precise strike—a roaring victory! Smoketail shows us that even the very air, when wielded by a dragon, can be as mighty as the fiercest blade. Her smoke is both shield and sword, a force of nature that leaves her enemies grasping at shadows.",Icon_Dragon_Thumb_Smoketail.png,rarity_dragon_epic,affinity_generic_smoketail,breed_hunter,item_shard_generic_smoketail,command_unique_smoketail_01,habit_dragon_smoketail_slot1_01,Hunter's Wrath,habit_dragon_smoketail_slot2_01,Ember Snare,habit_dragon_smoketail_slot3_01,Ashen Phantom,habit_dragon_smoketail_slot4_01,Champion's Scourge,habit_dragon_smoketail_slot5_01,Backdraft,habit_dragon_smoketail_slot6_01,Unraveled
dragon_generic_tairax,Tairax,"Tairax, the Moonlit Stalker, is a dragon of unparalleled stealth and agility. Her shimmering scales blend seamlessly with the night sky, allowing her to move unseen, like a whisper on the wind. 

One of her most delightful escapades was a grand game of hide-and-seek with the children of the Vale, organized by her mischievous rider, Lady Lyra. Tairax hid in the most unexpected places, and when she finally revealed herself, it was with a burst of fiery breath that etched a beautiful image into the grass, delighting all who witnessed it.",Icon_Dragon_Thumb_Tairax.png,rarity_dragon_epic,affinity_generic_tairax,breed_hunter,item_shard_generic_tairax,command_unique_tairax_01,habit_dragon_tairax_slot1_01,Hunter's Wrath,habit_dragon_tairax_slot2_01,Whisper of Ash,habit_dragon_tairax_slot3_01,Sunder,habit_dragon_tairax_slot4_01,Gleamstrike,habit_dragon_tairax_slot5_01,Gift of Fire,habit_dragon_tairax_slot6_01,Moonlit Hunt
dragon_generic_velar,Velar,"Velar, the Emerald Enigma, a dragon whose scales shine like the heart of the forest itself, is a beacon of hope in times of despair. In a land parched by drought, where hope was but a distant memory, Velar performed a feat few could comprehend. 

With a flick of his mighty wings and a breath that stirred the very heavens, he summoned forth a storm that wept upon the earth, drenching the barren ground with life-giving rain. The crops flourished, and the people rejoiced, for Velar had breathed life into the very soil. His power is not in destruction, but in creation, a force that nurtures as much as it protects.",Icon_Dragon_Thumb_Velar.png,rarity_dragon_epic,affinity_generic_velar,breed_sentinel,item_shard_generic_velar,command_unique_velar_01,habit_dragon_velar_slot1_01,Sentinel's Wit,habit_dragon_velar_slot2_01,Strategic Leader,habit_dragon_velar_slot3_01,Quick Reflexes,habit_dragon_velar_slot4_01,Gales of Power,habit_dragon_velar_slot5_01,Fierce Unity,habit_dragon_velar_slot6_01,Breath of Renewal
dragon_generic_zivern,Zivern,"Zivern, the Silent Shade, is not just a dragon but a master of espionage. By night, Zivern once carried spies across Essos, changing the course of wars with less noise than a mouse in the Red Keep's larder. The secrets it ferried could fill a book—or at least, a very spicy letter. 

Zivern proves that sometimes, the quiet ones are the ones you need to watch, especially if they breathe fire. His stealth and cunning are matched only by his ability to shape the fates of kingdoms, all from the shadows where he thrives.",Icon_Dragon_Thumb_Zivern.png,rarity_dragon_epic,affinity_generic_zivern,breed_sentinel,item_shard_generic_zivern,command_unique_zivern_01,habit_dragon_zivern_slot1_01,Sentinel's Wit,habit_dragon_zivern_slot2_01,Battle Mastery,habit_dragon_zivern_slot3_01,Keen Instinct,habit_dragon_zivern_slot4_01,Fearsome Reach,habit_dragon_zivern_slot5_01,Steel Shroud,habit_dragon_zivern_slot6_01,Cloak of Terror
dragon_generic_starshower,Starshower,"Starshower, the Wishkeeper, was first seen during a summer when the heavens turned restless. As a thousand meteors streaked across the sky, smallfolk fell to their knees in terror, believing the Seven had loosed their judgement upon the world. Yet, from that blazing rain descended Starshower, wings aglow with embers like falling stars.

Instead of fire and ruin, she circled watchfully above the countryside, each sweep of her wings scattering the meteors harmlessly into the distant sea. Ever since, Starshower is said to appear only when catastrophe looms from above—comets, omens, or worse—standing guard between the realm and the wrath of the skies. Those who glimpse her passing make a wish in silence, for it is believed that so long as Starshower watches the night, the world will endure until morning.",Icon_Dragon_Thumb_Starshower.png,rarity_dragon_epic,affinity_generic_starshower,breed_sentinel,item_shard_generic_starshower,command_unique_starshower_01,habit_dragon_starshower_slot1_01,Sentinel's Wit,habit_dragon_starshower_slot2_01,Night Guardian,habit_dragon_starshower_slot3_01,Battle Subversion,habit_dragon_starshower_slot4_01,Ill Portents,habit_dragon_starshower_slot5_01,Tactical Breach,habit_dragon_starshower_slot6_01,Wishkeeper's Grace
dragon_generic_vaeldra,Vaeldra,"Vaeldra, the Beacon of Bravery, a dragon whose courage is as vast as the sea, and whose roar alone could quell a storm's fury. On a night black as pitch, when a tempest threatened to swallow a fleet whole, Vaeldra emerged from the gloom, wings beating against the gale. 

With a cry that split the heavens, she challenged the tempest, her fire lighting up the dark, guiding the fleet to safety. The sailors, awestruck and saved, whispered tales of the dragon who fought the storm itself, the protector of those who traverse the deep. Vaeldra’s bravery is a light in the darkness, a beacon that guides even the most lost souls to safety.",Icon_Dragon_Thumb_Vaeldra.png,rarity_dragon_epic,affinity_generic_vaeldra,breed_warrior,item_shard_generic_vaeldra,command_unique_vaeldra_01,habit_dragon_vaeldra_slot1_01,Warrior's Resilience,habit_dragon_vaeldra_slot2_01,Dragon's Valor,habit_dragon_vaeldra_slot3_01,Ensnare,habit_dragon_vaeldra_slot4_01,Tempting Distraction,habit_dragon_vaeldra_slot5_01,Infernal Force,habit_dragon_vaeldra_slot6_01,Siren's Call
dragon_generic_daemoros,Daemoros,"Daemoros, the Shadowflame, is a dragon cloaked in mysteries as deep as the night itself. During the Siege of Nightfall, when darkness threatened to engulf the realm, it was Daemoros who turned the tide. With flames darker than the abyss, Daemoros cloaked the enemy in a shroud of shadows. Struck blind and terror-stricken, the darkness devoured their courage. 

In the aftermath, Daemoros vanished as if he were a phantom, leaving behind tales of the dragon whose might lay in the unseen, the unknown. His power is not just in his fire, but in the fear he sows in the hearts of those who dare oppose him.",Icon_Dragon_Thumb_Daemoros.png,rarity_dragon_epic,affinity_generic_daemoros,breed_warrior,item_shard_generic_daemoros,command_unique_daemoros_01,habit_dragon_daemoros_slot1_01,Warrior's Zeal,habit_dragon_daemoros_slot2_01,Instill Fear,habit_dragon_daemoros_slot3_01,Powerful Reflexes,habit_dragon_daemoros_slot4_01,Shroud of Shadows,habit_dragon_daemoros_slot5_01,Darkening Fear,habit_dragon_daemoros_slot6_01,Phantom's Veil
dragon_iconic_vermax, Vermax,"Vermax was bound to Jacaerys Velaryon from the moment his egg cracked, a living answer to every whispered doubt cast upon his rider’s birth. Quick to temper, Vermax thrives beneath open skies and warm seas, yet grows restless when pressed by snow or biting cold.

Together, prince and dragon have flown not as conquerors, but as bearers of will and warning—north to the Eyrie, to White Harbor, even to the shadow of Winterfell—where Vermax’s passing shadow has secured oaths more firmly than steel or crown. Still young, still burning with restless strength, Vermax stands as a symbol of rising fire and untested destiny, a dragon whose wings carry not only flame, but the promise of what is yet to come.",Icon_Dragon_Thumb_Vermax.png,rarity_dragon_epic,affinity_iconic_vermax,breed_warrior,item_shard_iconic_vermax,command_unique_vermax_01,habit_dragon_vermax_slot1_01,Warrior's Zeal,habit_dragon_vermax_slot2_01,Trial by Flame,habit_dragon_vermax_slot3_01,Reactive Instincts,habit_dragon_vermax_slot4_01,Rallying Flame,habit_dragon_vermax_slot5_01,Dragon's Valor,habit_dragon_vermax_slot6_01,Unyielding Resolve
dragon_generic_thrandar,WIP Thrandar,"Thrandar, the Sky-Tempest, once embarked on what can only be described as a courtship of the clouds. During a particularly feisty spring, Thrandar became enamored with the shape and form of a cloud, believing it to be a dragon of pure air. 

His attempts at courtship—diving, swirling, and breathing warm gusts—resulted in the most peculiar weather patterns, baffling maesters and delighting peasants with a season of endless rainbows. 

Thrandar’s tale is one of whimsy and wonder, a reminder that even dragons can find themselves lost in love’s embrace, however fleeting.",Icon_Dragon_Thumb_Caraxes.png,rarity_dragon_epic,affinity_generic_thrandar,breed_warrior,item_shard_generic_thrandar,command_unique_thrandar_01,habit_dragon_thrandar_slot1_01,<color=purple>Work in Progress</color>,habit_dragon_thrandar_slot2_01,<color=purple>Work in Progress</color>,habit_dragon_thrandar_slot3_01,<color=purple>Work in Progress</color>,habit_dragon_thrandar_slot4_01,<color=purple>Work in Progress</color>,habit_dragon_thrandar_slot5_01,<color=purple>Work in Progress</color>,habit_dragon_thrandar_slot6_01,<color=purple>Work in Progress</color>
dragon_generic_kalspire,Kalspire,"Kalspire, the Radiant Conqueror, is no ordinary dragon. His brilliance lies not just in his dazzling scales but in his mind—sharp, calculating, and always three steps ahead. During the Battle of Duskwatch, Kalspire hovered silently above the fray, his keen eyes assessing the battlefield. Just as the sun dipped below the horizon, casting long shadows over the field, Kalspire struck with precision. 

His flames targeted not the masses, but the linchpins of the enemy’s defenses—the commanders, the supply lines, the morale. Kalspire wins wars with his mind as much as his might.",Icon_Dragon_Thumb_Kalspire.png,rarity_dragon_legendary,affinity_generic_kalspire,breed_champion,item_shard_generic_kalspire,command_unique_kalspire_01,habit_dragon_kalspire_slot1_01,Champion's Brilliance,habit_dragon_kalspire_slot2_01,Robust Insight,habit_dragon_kalspire_slot3_01,Battle Cunning,habit_dragon_kalspire_slot4_01,Tactical Assault,habit_dragon_kalspire_slot5_01,Dragon's Insight,habit_dragon_kalspire_slot6_01,Radiant Conqueror
dragon_iconic_seasmoke,Seasmoke,"Seasmoke, the pale silver-grey dragon, a marvel of the skies, is swift and agile, cutting through the air with the grace of a dancer. Once bonded to Ser Laenor Velaryon, Seasmoke found a new rider in the young and daring Addam of Hull. Though young, this dragon has already proven his mettle, soaring through the skies with unmatched grace. 

As a dragon of House Velaryon, Seasmoke embodies the spirit of the seafarer family, known for their mastery of the seas and their unwavering loyalty to the Targaryen line. His wings are the winds of change, his fire the forge of legends.",Icon_Dragon_Thumb_Seasmoke.png,rarity_dragon_legendary,affinity_iconic_seasmoke,breed_champion,item_shard_iconic_seasmoke,command_unique_seasmoke_01,habit_dragon_seasmoke_slot1_01,Champion's Brilliance,habit_dragon_seasmoke_slot2_01,Clever Maneuver,habit_dragon_seasmoke_slot3_01,Wind's Favor,habit_dragon_seasmoke_slot4_01,Infectious Wrath,habit_dragon_seasmoke_slot5_01,Cunning Ferocity,habit_dragon_seasmoke_slot6_01,Loyal Bond
